区,区分,人口,年少人口,0～ 4歳,5～ 9,10～14,生産年齢  人    口,15～19歳,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,老年人口,65～69歳,70～74,75～79,80～84,85～89,90～94,95～99,100歳  以上
北区,篠路３条５丁目,319,30,5,8,17,167,15,7,7,13,18,20,24,21,10,32,122,26,30,28,26,7,5,-,-
北区,篠路３条６丁目,720,65,8,22,35,405,36,23,18,18,35,36,61,54,72,52,250,53,79,50,42,19,4,3,-
北区,篠路３条７丁目,98,7,-,2,5,57,3,3,1,3,10,5,7,10,8,7,34,7,7,4,6,5,4,1,-
北区,篠路３条８丁目,650,59,26,19,14,393,25,28,39,35,27,46,43,56,55,39,198,25,34,35,50,39,9,5,1
北区,篠路３条１０丁目,239,52,12,11,29,152,20,11,7,11,12,33,24,11,11,12,35,11,5,10,3,2,2,2,-
北区,篠路４条１丁目,71,10,2,4,4,34,2,1,2,3,8,4,3,1,5,5,27,9,8,7,2,1,-,-,-
北区,篠路４条２丁目,427,51,11,19,21,217,22,14,10,17,19,32,28,36,21,18,159,47,43,32,20,10,7,-,-
北区,篠路４条３丁目,347,42,14,13,15,178,15,16,11,11,11,14,32,29,20,19,127,21,29,32,28,13,1,3,-
北区,篠路４条４丁目,261,30,5,12,13,128,6,10,4,13,13,17,23,17,8,17,103,16,30,18,19,13,5,2,-
北区,篠路４条５丁目,407,56,25,15,16,223,23,17,8,21,25,24,39,37,14,15,128,22,24,37,25,13,5,2,-
北区,篠路４条６丁目,352,50,18,14,18,178,20,6,6,13,19,28,24,31,22,9,124,28,37,23,22,6,4,3,1
北区,篠路４条７丁目,163,25,8,9,8,90,3,4,8,11,12,10,7,10,7,18,48,18,11,6,6,4,3,-,-
北区,篠路４条８丁目,395,62,16,21,25,250,21,19,22,28,18,35,31,25,27,24,83,18,10,12,16,18,8,1,-
北区,篠路４条９丁目,291,49,17,15,17,188,23,18,20,13,19,11,26,30,14,14,54,12,14,6,11,8,3,-,-
北区,篠路４条１０丁目,384,54,10,15,29,292,50,34,10,8,8,23,64,57,27,11,38,6,14,8,7,2,1,-,-
北区,篠路５条１丁目,86,19,5,8,6,51,3,5,1,4,8,6,9,5,3,7,16,4,4,-,5,1,1,1,-
北区,篠路５条２丁目,102,20,4,7,9,66,7,5,1,5,14,6,6,6,9,7,16,6,4,2,1,1,2,-,-
北区,篠路５条３丁目,291,38,13,14,11,123,5,3,3,11,17,18,22,14,14,16,130,37,28,23,22,12,7,1,-
北区,篠路５条４丁目,157,21,-,9,12,77,4,3,1,6,9,13,10,14,11,6,59,10,12,17,12,3,4,-,1
北区,篠路５条５丁目,234,33,7,15,11,112,10,6,5,6,14,17,12,24,8,10,89,18,16,12,24,15,4,-,-
北区,篠路５条６丁目,313,38,12,15,11,148,6,7,13,14,18,14,19,25,15,17,127,25,22,27,25,17,7,3,1
北区,篠路５条７丁目,81,9,2,3,4,32,-,1,-,-,8,12,3,1,-,7,40,13,12,9,1,4,1,-,-
北区,篠路５条８丁目,91,6,-,3,3,46,1,6,4,5,7,8,5,3,4,3,39,13,10,6,2,6,-,2,-
北区,篠路５条９丁目,436,55,16,20,19,218,21,10,13,19,30,37,31,25,13,19,163,40,57,28,18,9,8,2,1
北区,篠路５条１０丁目,285,37,8,5,24,227,44,24,11,9,7,14,52,43,16,7,21,6,6,5,3,1,-,-,-
北区,篠路６条１丁目,166,19,5,9,5,79,7,11,4,5,6,7,17,4,13,5,68,13,14,13,10,11,6,1,-
北区,篠路６条２丁目,121,4,2,-,2,54,6,3,5,1,8,4,6,3,8,10,63,17,25,8,6,6,1,-,-
北区,篠路６条３丁目,234,38,10,14,14,123,9,7,-,13,11,19,20,13,17,14,73,15,26,10,11,5,5,1,-
北区,篠路６条４丁目,287,34,13,12,9,165,11,11,13,11,15,19,22,24,21,18,88,24,26,27,8,3,-,-,-
北区,篠路６条５丁目,321,36,11,14,11,160,8,12,6,19,23,14,18,31,16,13,125,18,22,38,27,15,2,3,-
北区,篠路６条６丁目,383,53,18,22,13,179,10,6,7,22,25,21,26,18,23,21,151,37,44,32,17,12,5,3,1
北区,篠路６条７丁目,94,12,5,5,2,63,3,4,1,11,8,9,3,9,6,9,19,7,6,2,2,1,-,1,-
北区,篠路６条８丁目,376,33,10,13,10,249,12,17,11,20,20,18,23,40,50,38,94,22,26,26,12,4,3,1,-
北区,篠路７条１丁目,127,14,2,3,9,63,6,3,1,2,5,6,14,8,11,7,50,8,26,10,5,1,-,-,-
北区,篠路７条２丁目,311,40,11,11,18,164,9,14,8,9,20,20,22,22,20,20,107,20,34,22,21,8,1,1,-
北区,篠路７条３丁目,311,54,11,19,24,165,11,9,9,16,24,28,19,16,18,15,92,39,18,17,5,9,3,1,-
北区,篠路７条４丁目,182,8,4,2,2,95,4,10,11,9,5,13,11,11,12,9,79,23,14,18,12,8,2,2,-
北区,篠路７条５丁目,221,14,3,4,7,125,12,6,7,8,14,16,16,19,12,15,82,17,23,23,9,10,-,-,-
北区,篠路７条６丁目,612,51,15,15,21,343,23,17,19,25,31,34,53,53,35,53,218,64,66,39,25,11,12,1,-
北区,篠路７条７丁目,201,15,3,6,6,95,8,5,2,7,15,20,15,8,9,6,91,24,39,16,8,2,1,1,-
北区,篠路７条８丁目,109,15,2,7,6,52,4,3,1,8,7,8,8,4,5,4,42,7,15,8,6,4,-,2,-
北区,篠路８条１丁目,170,21,6,7,8,104,9,5,5,6,12,17,13,11,4,22,45,10,8,7,7,7,5,1,-
北区,篠路８条２丁目,372,51,12,21,18,198,12,18,10,13,16,23,33,25,25,23,123,31,39,19,23,5,5,1,-
北区,篠路８条３丁目,261,27,4,9,14,134,8,9,10,4,12,13,27,17,23,11,100,23,31,14,20,6,4,2,-
北区,篠路８条４丁目,245,35,10,12,13,147,12,5,13,14,12,24,16,14,20,17,63,12,17,11,14,7,1,-,1
北区,篠路８条５丁目,148,13,4,2,7,94,11,11,2,8,8,8,13,15,8,10,41,16,12,9,3,1,-,-,-
北区,篠路８条６丁目,1037,158,52,61,45,619,54,39,30,63,60,83,94,66,62,68,260,90,86,33,33,14,2,2,-
北区,篠路８条７丁目,374,25,5,12,8,263,15,19,15,11,18,20,25,49,45,46,86,38,24,17,5,-,-,1,1
北区,篠路９条１丁目,150,30,7,10,13,97,11,4,8,4,12,20,20,7,8,3,23,8,6,3,3,1,1,1,-
北区,篠路９条２丁目,413,70,10,28,32,237,25,11,6,18,25,43,32,25,23,29,106,30,35,14,9,6,8,4,-
北区,篠路９条３丁目,244,28,4,11,13,124,10,6,4,9,10,19,17,25,14,10,92,19,31,18,16,2,3,2,1
北区,篠路９条４丁目,395,54,10,18,26,199,18,12,11,12,22,29,27,36,17,15,142,21,41,42,20,11,6,1,-
北区,篠路９条６丁目,103,10,2,4,4,66,-,1,3,3,8,12,14,13,4,8,27,11,4,6,3,2,-,1,-
北区,篠路１０条１丁目,103,6,3,-,3,48,2,5,-,5,3,5,10,8,6,4,49,5,-,6,5,14,13,6,-
北区,篠路１０条２丁目,253,28,8,12,8,147,8,13,9,10,8,18,17,22,24,18,78,16,24,20,8,8,2,-,-
北区,篠路１０条３丁目,274,35,11,11,13,142,8,10,11,18,19,20,18,10,10,18,97,31,33,15,11,3,3,1,-
